Product Description,Product Category
"TP-Link TL-WA850RE 300Mbps Universal Wi-Fi Range Extender (White) Style name:N300   TP-LINK TL-WA850RE is designed to conveniently extend the coverage and improve the signal strength of an existing wireless network to eliminate dead zones With 300Mbps wireless N speeds, Range extender button, miniature size and wall mounting design, extending a wireless network has never been easier. What's more, its ethernet port allows the TL-WA850RE to act as a wireless adapter to turn a wired device into a wireless one. Toll free no : 1800 2094 168 Email : support.in@tp-link.com",Electronics
QuantumZERO External Powered USB 3.0 Hub (10 Ports 60W),Electronics
"Godrej C071 Aluminum Alloy Door Closer Constructed with extruded anodized aluminum body & high quality steel internal components.Compact design with minimized projection allowing installation to door having adjacent return wall at 90°.Heat treated steel rack & pinion immersed in high grade oil to give a smooth precise action & minimum wear.Stable hydraulic fluid for any climatic operation & constant lubrication.Heat treated high tensile springs.Piston & spindle been heat treated for high strength. Adjustable Closing & Latching Speed (in 2S model) 1=Closing Speed Adjusting Valve, range 120° ~ 15° 2=Latching Speed Adjusting Valve, range 15°~ 0°",Office Supplies
"SanDisk Ultra Dual 16GB USB 3.0 OTG Pen Drive Size name:16GB   The SanDisk Ultra Dual Drive m3.0 makes it easy to transfer content from your phone to your computer. With a micro-USB connector on one end and a USB 3.0 connector on the other, the drive lets you move content easily between your devices-from your AndroidTM smartphone or tablet to your laptop, PC or Mac computer1. The USB 3.0 connector is high-performance and backward-compatible with USB 2.0 ports. The SanDisk Memory Zone app2 for Android (available on Google Play) helps you manage your device's memory and your conten. Note: Incase of any issue with the product, Kindly contact brand at 1800-102-2055(English, Hindi) between M-F | 9a.m - 7:30p.m.",Electronics
"Netgear WN3000RP-200PES Universal Wi-Fi Range Extender (Cream White) Style name:300Mbps   Product Description The N300 WiFi Range Extender boosts your existing WiFi network to places out of reach of your existing WiFi. Plug it into an electrical outlet and give your WiFi a boost. External antennas give you’re the extra boost to put your over the top. 				    	 					 From the Manufacturer    N300 WiFi Range Extender     WN3000RP enlarge       enlarge   Turn Dead Zones Into Connected Corners Move around with your mobile devices and keep them connected by giving your existing WiFi a boost. This small, easy-to-install wall-plug WiFi range extender also creates new WiFi connectivity for up to 1 wired device like a Smart TV, Blu-ray player or game console. Product Benefits  Extends wireless coverage Universal compatibility Easy install—no CD required Connect iPad, Smartphones, and more          enlarge   Features  Boost N300 WiFi—Improve range & speed of your existing N300 WiFi network Fast Ethernet Port—Connect a wired device like a Blu-ray player, game console, smart TV or streaming player to your WiFi network.  External Antennas—For better WiFi coverage & more speed Smart LED Indicators—Finds best location for optimal WiFi coverage Reduce Bills—Reduce 3G/4G mobile data plan charges by connecting to WiFi  It’s Easy—Easy installation using any web browser; no CD required  Compare   Features WN1000RP WN2000RPT WN3000RP PR2000 WN2500RP WN3500RP EX6100 EX6200                   N150 WiFi Range Extender  N300 WiFi Range Extender N300 WiFi Range Extender N300 Range Extender & Travel Router  N600 WiFi Range Extender N600 WiFi Range Extender AC750 WiFi Range Extender AC1200 WiFi Range Extender    Universal Compatibility ✓ ✓ ✓ ✓ ✓ ✓ ✓ ✓   Placement Wall-Plug Desktop Wall-Plug Wall-Plug Desktop Wall-Plug / Desktop Wall-Plug Desktop   WiFi Band 2.4 GHz 2.4 GHz 2.4 GHz 2.4 GHz 2.4 GHz & 5 GHz 2.4 GHz & 5 GHz 2.4 GHz & 5 GHz 2.4 GHz & 5 GHz   Performance N150 N300 N300 N300 N600 N600 AC750  AC1200    Wired to WiFi Adapter   4-port 1-port 1-port 4-port 1-port 1-port GigE 5-port GigE   Mobile Device Setup ✓ ✓ ✓ ✓ ✓ ✓ ✓ ✓   FastLane Technology         ✓ ✓ ✓ ✓        WiFi Analytics App How strong is your WiFi signal? Use the NETGEAR WiFi Analytics app for Android & get advanced analytics to optimize your existing or newly extended WiFi network. Check your network status, WiFi signal strength, identify crowded WiFi channels & much more! Here’s what you can do with the WiFi Analytics App!  Get a network status overview Check WiFi signal strength Measure WiFi channel interference Keep track of WiFi strength by location and more...    Compatibility     Package Contents  N300 WiFi Range Extender (WN3000RP) Installation guide    System Requirements  2.4 and/or 5.0 GHz 802.11 a/b/g/n/ac WiFi router or gateway Microsoft Windows 7, 8, Vista, XP, 2000, Mac OS, UNIX, or Linux Microsoft Internet Explorer 5.0, Firefox 2.0 or Safari 1.4 or Google Chrome 11.0 browsers or higher",Electronics
"Super 10 Sample Papers for CBSE Class 10 Social Science with Marking Scheme & Revision Notes About the Author Disha Experts is a team of most renowned and prolific content writers pioneering in School and Test Prep segments (Competitive Exams and Government Vacancies). It consists of more than 30 experts comprising of IITians, PhDs, B-Techs, PGs, etc. working full-time with decades of experience in various academic and competitive exam verticals. Disha Experts has emerged as a think tank in the School and Test Prep segments providing the most updated (latest pattern and syllabus-wise) to-the-point student friendly (relevant and easy-to-understand presentation) content such that the aspirants can give their best.",Books
Biba Girls A- Line Salwar Suit Set BIBA today is the most loved ethnic wear brand in the country. BIBA Girls products are available now.,Clothing
"Teabox Neo Glass Teapot with Removable Stainless Steel Infuser and Lid for Loose Leaf Tea | Microwave-safe Borosilicate Glass Tea Pots | 450 ml Size:Neo Teapot   This teapot is all about the charm. Its sleek shape, clear glass make, and the fine-mesh infuser - all contribute to one impressive teapot that’s guaranteed to up your tea experience. This teapot is perfect for steeping a clear pot of tea for two, and makes for a charming table-top accessory for home and office both.",Grocery
"Alibaba: The House That Jack Ma Built About the Author Duncan Clark is chairman and founder of BDA China, a consultancy he founded in Beijing in 1994 after four years as an investment banker with Morgan Stanley in London and Hong Kong. Duncan divides his time between his home in Beijing and fresh air outposts in the San Francisco bay area and London. A British citizen who grew up in the UK, US, and France, Duncan was recently appointed OBE by Her Majesty Queen Elizabeth II, for services to British commercial interests in China.",Books
"Asteroid Hybrid SIM Slot Adapter. Avails You to Run 2 SIM and Micro SD Card, All at A Time.[Nano to Nano] Sim Slot for All Hybrid Sim Phone Dual SIM Card And Micro SD card Works At The Same Time Without Any Network Issues. By Using The Adapter You can use Two SIM Cards and One Micro SD card at the same time Without Any Network Disturbances. The SIM In The Adapter Reads The SIM As 2nd SIM And Support The Same Signal Bandwidth As Of SIM 2, Also Supports VoLTE. The Adapter Is Super Flexible And Durable With A Thickness Of 0.1mm Which It Allows To Work With Multiple Folds. With A High standard Material It Resist And Works Fine With Multiple Sharp Folds.  Works With All Hybrid SIM Smart Android Model Phone. As the SIM tray is outside the phone, now you can change your 2nd SIM frequently and that doesn't damage the Adapter..",Electronics
"The Motorcycle Diaries Review ‘It’s true; Marxists just wanna have fun.’ Guardian‘Politically-correct revolutionary hero? Perhaps a few years later, but in this account Che Guevara comes over as one of the lads.’ Bike News'What distinguishes these diaries is that they reveal a human side to El Che which historians have successfully managed to suppress…one senses El Che's belief that determination and conviction can be enough to change one's self and others… a joy to read from start to finish.' Financial Times'Political incorrectness galore…this book should do much to humanise the image of a man who found his apotheosis as a late Sixties cultural icon. It is also, incidentally, a remarkably good travel book about South America.' Scotsman About the Author Ernesto 'Che' Guevara is a revolutionary Marxist guerilla commander who has inspired lives all other world and continues to do so. He was also known as el Che and played a crucial role in the Cuban Revolution. He began his adult life as medical student but ended as a key figure in the Cuban government. A timeless class struggle figure, Che Guevara has also authored the Bolivian Diary, My Best Friend's Life and many other books. The book was translated by Alexandra Keeble.",Books
